reference_mainstem,change
https://geoconnex.us/ref/mainstems/1426261,extend outlet flathead to correct Columbia
https://geoconnex.us/ref/mainstems/1445977,replace upper Columbia to establish Clark Fork
https://geoconnex.us/ref/mainstems/2238467,extend outlet St John into Canada
https://geoconnex.us/ref/mainstems/2101542,extend outlet Rivière Richelieu into Canada
https://geoconnex.us/ref/mainstems/2233910,extend outlet St. Mary River into Canada
https://geoconnex.us/ref/mainstems/2574749,extend outlet Red River of the North into Canada
https://geoconnex.us/ref/mainstems/1427912,extend outlet Kootenai River into Canada
https://geoconnex.us/ref/mainstems/2359533,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/2094493,extend outlet Saint Lawrence River further east
https://geoconnex.us/ref/mainstems/1899734,extend outlet into Mexico
https://geoconnex.us/ref/mainstems/2101135,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2589861,extend outlet Rainy River into Canada
https://geoconnex.us/ref/mainstems/2303968,extend outlet Barton River into Canada
https://geoconnex.us/ref/mainstems/2573909,extend outlet through Devils Lake
https://geoconnex.us/ref/mainstems/2333044,extend outlet into Canada
https://geoconnex.us/ref/mainstems/460506,extend outlet into Canada
https://geoconnex.us/ref/mainstems/1847309,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/2233707,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2590126,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2304234,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2233541,extend outlet into Canada
https://geoconnex.us/ref/mainstems/1611802,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/2592452,extend outlet into Canada
https://geoconnex.us/ref/mainstems/1894813,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/1455872,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2357586,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/2304280,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2571472,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2359158,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/1900333,extend outlet into Mexico
https://geoconnex.us/ref/mainstems/2591001,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2101535,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2576915,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2613958,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2577793,moved outlet in lower red lake
https://geoconnex.us/ref/mainstems/1891058,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/2101573,moved outlet in Lake Champlain
https://geoconnex.us/ref/mainstems/2577152,moved outlet in lower red lake
https://geoconnex.us/ref/mainstems/424121,extend outlet into Canada
https://geoconnex.us/ref/mainstems/1464757,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2234574,extend outlet into Canada
https://geoconnex.us/ref/mainstems/2332953,extend outlet into Canada
https://geoconnex.us/ref/mainstems/1876132,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/1874530,moved outlet in Cadiz Lake
https://geoconnex.us/ref/mainstems/1891459,moved outlet in Wilcox Playa
https://geoconnex.us/ref/mainstems/1875965,moved outlet in Salton Sea
https://geoconnex.us/ref/mainstems/2102146,moved outlet in Lake Champlain
https://geoconnex.us/ref/mainstems/2102563,moved outlet in Lake Champlain
https://geoconnex.us/ref/mainstems/2102980,moved outlet in Lake Champlain
https://geoconnex.us/ref/mainstems/2243703,extend outlet into Canada
https://geoconnex.us/ref/mainstems/56445,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/1614001,moved outlet in same river corridor
https://geoconnex.us/ref/mainstems/2595445,moved outlet in Lake of the Woods
https://geoconnex.us/ref/mainstems/2254946,extend outleted into coastal waters
https://geoconnex.us/ref/mainstems/2359547,shorten because NHDPlusHR doesn't connect
https://geoconnex.us/ref/mainstems/2593356,moved outlet in Lake of the Woods
