reference_mainstem,head_nhdphr_permid,head_nhdplushr_id
https://geoconnex.us/ref/mainstems/2577627,149372178,65000200087330
https://geoconnex.us/ref/mainstems/2577627,149370744,65000200051837
https://geoconnex.us/ref/mainstems/48555,140867576,40000400002641
https://geoconnex.us/ref/mainstems/2590256,80979293,65000300091618
https://geoconnex.us/ref/mainstems/2590256,80978863,65000300025405
https://geoconnex.us/ref/mainstems/1886819,152620118,40000200069000
https://geoconnex.us/ref/mainstems/1886819,152621742,40000200060852
https://geoconnex.us/ref/mainstems/2571793,149213357,65000100004680
https://geoconnex.us/ref/mainstems/2571793,149213428,65000100004918
https://geoconnex.us/ref/mainstems/1611505,96990838,35000300145243
https://geoconnex.us/ref/mainstems/1611505,96991662,35000300254013
https://geoconnex.us/ref/mainstems/1875793,37698315,50000500023475
https://geoconnex.us/ref/mainstems/1997976,114530195,60003700004028
https://geoconnex.us/ref/mainstems/1997976,114531305,60003700000433
https://geoconnex.us/ref/mainstems/1997976,114530997,60003700025760
https://geoconnex.us/ref/mainstems/1872383,46968621,50000500023782
https://geoconnex.us/ref/mainstems/1872383,37673693,50000500036121
https://geoconnex.us/ref/mainstems/2574043,143378042,65000200060753
https://geoconnex.us/ref/mainstems/2025657,126604282,65000200053889
https://geoconnex.us/ref/mainstems/1449686,157383114,55000500018991
https://geoconnex.us/ref/mainstems/1876200,37675025,50000500000095
https://geoconnex.us/ref/mainstems/2578192,121834575,65000200009308
https://geoconnex.us/ref/mainstems/2578192,{0216E674-BBB1-4CE1-927D-4CB45575EB44},65000200033121
https://geoconnex.us/ref/mainstems/42154,136384107,40000400112235
https://geoconnex.us/ref/mainstems/1895283,140547638,40000400024447
https://geoconnex.us/ref/mainstems/1611370,96992880,35000300146679
https://geoconnex.us/ref/mainstems/1873498,46957143,50000500001899
https://geoconnex.us/ref/mainstems/2028588,120895747,65000200056217
https://geoconnex.us/ref/mainstems/2028588,120895390,65000200000185
https://geoconnex.us/ref/mainstems/1874199,46978263,50000500025820
https://geoconnex.us/ref/mainstems/1845150,132744336,50000100172005
https://geoconnex.us/ref/mainstems/1845150,{993F09D6-41EC-42D0-8338-73BD1F29CE1F},50000100003645
https://geoconnex.us/ref/mainstems/52762,108836373,40000400134959
https://geoconnex.us/ref/mainstems/52762,108849765,40000400130564
https://geoconnex.us/ref/mainstems/67419,143490184,40000200041569
https://geoconnex.us/ref/mainstems/64572,123666685,40000400125915
https://geoconnex.us/ref/mainstems/1876182,37667299,50000500010704
https://geoconnex.us/ref/mainstems/2593105,106365878,65000300030144
https://geoconnex.us/ref/mainstems/1847717,{9A085A7E-E5CF-4B88-A25B-B6B38F3562CA},50000100186595
https://geoconnex.us/ref/mainstems/1847717,41203985,50000100215231
https://geoconnex.us/ref/mainstems/492767,146365531,23002800130615
https://geoconnex.us/ref/mainstems/2578130,105562888,65000200011838
https://geoconnex.us/ref/mainstems/2578130,105563668,65000200047205
https://geoconnex.us/ref/mainstems/1891191,{E1B65FB5-0F33-4B62-BEC4-AD05049C449E},40000400061656
https://geoconnex.us/ref/mainstems/1891191,122503698,40000400109472
https://geoconnex.us/ref/mainstems/2255771,151694457,5000200782631
https://geoconnex.us/ref/mainstems/1847719,27841874,50000100070128
https://geoconnex.us/ref/mainstems/1891388,122498898,40000400060691
https://geoconnex.us/ref/mainstems/2028728,149371590,65000200088135
https://geoconnex.us/ref/mainstems/2338202,165057400,55000800170074
https://geoconnex.us/ref/mainstems/1611575,37132247,35000200009429
