mainstem,head,out,provider
2238605,720210,717072,2
2239288,719396,719026,2
2239530,718068,719138,2
2238913,719962,719270,2
2239238,718636,720114,2
2239291,719952,720142,2
2239148,720204,720174,2
2239149,720020,720188,2
2239251,720006,720150,2
2239243,718946,719298,2
2238821,719448,719112,2
2239203,718254,718876,2
2239174,718982,719102,2
2238828,718224,719008,2
2239429,718890,718916,2
2239364,718792,719012,2
2239667,718956,718404,2
2239173,719450,720086,2
2239172,719972,720106,2
2239237,718622,718652,2
2238615,725936,4287763,2
2238971,724308,724728,2
2239125,724330,725964,2
2238896,725288,725976,2
2239216,724394,725838,2
2239077,725442,726052,2
2239321,725654,725918,2
2239136,726148,725702,2
2239098,725376,724786,2
2238897,724900,724880,2
2239380,24893824,724674,2
2239185,724096,724724,2
2239399,724500,724686,2
2239326,724560,724768,2
2239218,725206,724838,2
2241625,808319,166195783,2
2241904,805503,805153,2
2242313,805501,803705,2
2241928,805515,805283,2
2241727,805823,805579,2
2241956,805519,805325,2
2241985,803767,805307,2
2242158,805527,804953,2
2241973,805539,804555,2
2241827,805973,807619,2
2242157,807857,806921,2
2242002,804321,804607,2
2241837,808399,807131,2
2241930,808501,807821,2
2242114,807909,807179,2
2242184,807875,807033,2
2241920,807603,807689,2
2241743,807609,805461,2
2241934,807309,807745,2
2242055,806973,807733,2
2241991,806903,806795,2
2241999,807587,807031,2
2241857,803285,166195785,2
2241980,802455,802487,2
2241997,803125,803221,2
2241822,806927,805169,2
2241840,805003,805397,2
2241940,806825,804483,2
2241994,804285,805561,2
2241944,804795,805085,2
2242244,804813,803693,2
2241943,803543,805069,2
2242335,803573,803637,2
2241774,805505,803169,2
2242118,802647,803517,2
2242008,802461,804757,2
2241978,802349,803145,2
2243845,817581,817081,2
2243825,818375,931010009,2
2243832,818041,817047,2
2243958,818167,817141,2
2243989,818117,817235,2
2243985,818381,817485,2
2243994,818147,817555,2
2243982,817329,817287,2
2244037,818643,818519,2
2239006,4290063,4292705,2
2238467,4290619,4292649,2
2238860,4290517,4290447,2
2239564,4290589,4290297,2
2239278,4290411,4290309,2
2239413,4290321,4290317,2
2239508,4290283,4290013,2
2239411,4290597,4290569,2
2239634,4290507,4290315,2
2239831,4290279,4290437,2
2239256,4290579,4290413,2
2239370,4290117,4292671,2
2238970,4288157,4288577,2
2240244,4288171,4288177,2
2239521,4288505,4288663,2
2239231,4288299,4288675,2
2239456,4288363,4289653,2
2239230,4288409,4289671,2
2238856,4289247,4289665,2
2239417,4288425,4289697,2
2239036,4290061,4289759,2
2239410,4288531,4288651,2
2239178,4289599,4289943,2
2240215,4288335,4288343,2
2239405,4290051,4289883,2
2239628,4288155,4288467,2
